gene,A,K,B,M,r2,cluster
DICER1,-0.6875623643521646,0.3643436728218758,14.999999999999998,0.5459503767150292,0.8384696819760855,3
KDM6A,-0.8543882513086482,0.5683866468891611,13.751909324079294,0.3379835539223295,0.7913725546048949,1
ROS1,-0.1634865974003087,0.3780200055523103,14.999999999998945,0.5139351700769177,0.529549754500143,3
LATS1,-0.1530188073371166,0.4321365933985219,14.999999999999986,0.661200411823761,0.5224729202856611,3
CDKL5,0.0307339265399733,0.507312480704977,14.999999999999998,0.292372502403191,0.4832824957402237,2
ZEB2,-0.3287168549731825,0.3152506481762829,11.51569863805502,0.2623153356748901,0.3995359545097017,2
SETD2,-0.4159447596860436,0.5159222021381386,14.999999999999453,0.3963044395361068,0.5983509515915286,2
ERBB4,-0.6627171099745639,0.4538512883846051,9.389938545865425,0.4393661558867487,0.7328755541087022,1
ASXL1,-0.7019443114870787,0.4778143009239968,11.062358413676582,0.4231947606506112,0.8794142398538654,1
BAP1,-0.0742330063518358,0.4046248821157359,8.790834997710038,0.5643798291796218,0.4039286002769341,3
FBXW7,-0.4242160109534124,0.4187949037916662,10.327738962737357,0.3699611580214404,0.5347047756281339,2
FLCN,-0.721759645515454,0.4548187128578568,14.999999999999998,0.3223351039143401,0.8183860274548289,1
USH2A,-0.4340464907380663,0.5100322295816407,10.638226265108475,0.5446438111322438,0.8013348395604992,3
TP63,-0.1233750644401485,0.1976341022315724,14.99999999999996,0.4067385528114295,0.2153414154711601,2
COL7A1,-0.7033430305340601,0.4514414585464923,10.350506414091068,0.4733656106872361,0.7568673566030694,1
EYS,-0.7137289094313864,0.2881940397325574,11.345677319739078,0.3729536664940113,0.7192608065863229,1
PKHD1,-0.0105364116602725,0.4462090366299054,14.999999955250392,0.3149954236511471,0.4127417297572288,2
DEPDC5,-0.7088156007738781,0.2143929998915969,14.99999999999994,0.3770591717673486,0.7304663805334901,1
SYNGAP1,-1.0444796998269543,0.3933526106004588,10.067110141505305,0.4016549379792913,0.8316923454465213,1
DSP,-0.6349030517511556,0.4156108285194538,14.999999999999998,0.3601325951885958,0.6617524988010886,2
MUTYH,-0.3483783207950247,0.3522554860992209,12.764074928037124,0.2412710667654814,0.4603870378997762,2
ASXL2,-0.6416386823114301,0.2745226449117809,14.904355235991938,0.358193251169015,0.6046847479579642,1
RNF43,-0.5264487290836025,0.3754264686312561,14.999999999999998,0.6072662733756845,0.7367889614526273,3
STAG2,-0.0323711225080495,0.3533420113876747,14.999999999999998,0.4171528324995115,0.2327874284483205,2
KDR,0.0669160295393594,0.3465957556454991,14.999999999999728,0.5831666749596419,0.0997160746804848,2
CFTR,-0.2692129950204625,0.4707966010777045,4.459248439700395,0.5985066759809665,0.542749996833755,3
EXT1,-0.4482851490185964,0.4474151544500643,14.999999992094224,0.2951454223618351,0.7062209833414659,2
DYRK1A,-0.469671626338971,0.4335548980760595,14.999999999999998,0.5177784380094291,0.7973437627795199,3
CEP290,-0.393555059722872,0.3351169941918099,11.950934173213096,0.3053852678671587,0.5942269771040187,2
ANKRD11,-0.4516857870973254,0.2988008168029629,14.999999999999998,0.4946965063146614,0.6440845563221365,3
VHL,0.4509460096556407,0.177042810538382,3.3505840793875104,0.9999999811984164,0.0140538960994353,3
NOTCH2,-0.9121792845710892,0.4715205216216358,13.082666226525593,0.2972708986674442,0.8901502609567278,1
CAPN3,-0.7484393056999722,0.3980514612063215,14.999999999999998,0.3995776984205279,0.7798096715234428,1
NOTCH1,-0.6428212346469099,0.4347324304290606,14.999999999999998,0.2231420840892113,0.7016514281140146,1
LAMA2,-0.526389183034937,0.366258459504461,14.999999999999895,0.4924845364992744,0.7385587815947818,3
BMPR1A,-0.7201920629845281,0.8971547427197101,2.5394830955700702,0.4422706850022698,0.5633028167172178,3
MYBPC3,-0.3888555818807627,0.4397382155452517,14.999999999999996,0.3852189825715104,0.6534307099556589,2
EPHA5,0.3646314259589237,0.52219319942677,14.999999581449655,0.1469039726229885,0.0216170084491958,2
FBN1,-0.5473404652283502,0.5042298878381736,13.79467630665141,0.4598643504945223,0.7530297509898342,1
BCOR,-0.5613903637811407,0.369393168220493,14.999999999962004,0.3478820439113448,0.7492406299561523,2
CHD2,-0.2569447517984987,0.4317244174520276,14.999999999999996,0.3431071671756333,0.5525769050502183,2
VPS13B,0.0575603483197886,0.3115102937467679,14.99999999999998,0.5984619372692257,0.0878922484612038,2
DYSF,-0.7438697902082779,0.281914195734336,14.999999999999998,0.3836279666572842,0.796107332902747,1
MTOR,-0.6422626331975401,0.511528549554652,5.087145567567014,0.4207555045255614,0.6232676425478338,3
DMD,-0.6191652052377813,0.5281200691948584,5.094564913486076,0.2635107317854816,0.5504902651530061,3
PHEX,-0.8251464095249892,0.306675426446769,13.84491758588427,0.4254250716899329,0.8325635755809677,1
ZFHX3,-1.0974732382222343,0.4052332011369725,14.999999999999998,0.3586971028646373,0.8466469615872493,1
AR,-0.2669793341153139,0.5136076595613449,9.45136697679528,0.6160153593409551,0.5971067986719836,3
KMT2D,-0.7824976130255347,0.588004254322806,4.88074202428056,0.4898370814164474,0.686298574985057,3
ENG,-0.9015216538682204,0.3609293456366588,14.999999999999998,0.3554338513899043,0.777191345138666,1
PALB2,0.0824616871632362,0.5270228604830084,14.999999999999998,0.3955821409434813,0.2663641028465484,2
CASP8,-0.4783739653710753,0.551196593133517,11.855397650854052,0.6818258236431466,0.7545172214695074,3
SACS,-1.2296607806952309,0.4379384934073891,7.660285436847755,0.4573196908690817,0.8831540922539692,1
SCN1A,-0.3507957628893358,0.3141512933728081,11.22270183145844,0.4316309470130362,0.4750692609397868,2
MMACHC,-1.045789394486256,0.3397028428239222,14.999999999946027,0.4175396162368856,0.8578927080809287,1
PMS2,-0.2103911865151353,0.4594699153893828,7.372206599690756,0.3360961150732556,0.4309140960366643,3
TP53,-0.7912411164909806,0.4204548927544666,14.07361763194744,0.4081049239605114,0.8867556500371794,1
STK11,-0.4882582109269064,0.5565906532655929,11.551741539712186,0.6339115403849671,0.7475157827724088,3
RBM10,-0.3872256970980089,0.4702880177058284,14.999999999999998,0.3339094607942259,0.5532557384995056,2
NSD1,0.3952579239772494,0.4765469404440227,14.996626239116646,0.6363796639805208,0.0156673325128715,2
ATP7A,-0.6311347372035998,0.3679995609403788,11.313731213295002,0.5199033046499263,0.6921845100938258,1
EPHA3,-0.5871660526669132,0.3584624071219917,10.792734798747842,0.4469190586324579,0.7483788300735363,1
BRCA1,-0.6653269320726319,0.2172143170489288,10.491824950621517,0.4854974495423984,0.70889647171635,1
ARID2,-0.652802919937848,0.5702037025371728,14.999999999999996,0.4330787616847089,0.8450591268258592,1
NEB,-0.3451247228186169,0.3355983045493874,14.999999999999998,0.2510937195341606,0.4972001565390248,2
PKP2,-1.0219567945834735,0.4028286737622216,14.999999999998623,0.4522748146934329,0.902254824968105,1
TSC2,-0.489679880444952,0.3494556966301073,14.999999999999998,0.3444969961225838,0.615744146576789,2
MAP3K13,-0.8639845040744584,0.3438865540630666,7.975020698278333,0.4996243410608537,0.7475710947851678,1
ITGA2B,-0.7336885625417561,0.577708244877078,14.999999999999998,0.2889813685926986,0.7650760362174186,1
TSC1,-0.8184970015135641,0.3303608627224248,14.99999999999966,0.3746920700987761,0.7808469589129329,1
EP300,-0.7145849885227733,0.496362948502113,14.565255156266971,0.3896473124233868,0.7779761448986586,1
NF2,-0.8013074630857534,0.481216104250587,12.984779184486024,0.6261361426753549,0.8450854300559419,3
PTPRT,-0.8727264730454494,0.4219670532434227,12.656670078405009,0.3000179402750893,0.7680388234983261,1
CHM,-0.070357234297548,0.419778056772321,14.99999999999998,0.2469625508205458,0.3219431024786174,2
MSH2,-0.9019227368447924,0.4804667915221872,8.774449147260587,0.5030926884436941,0.782071303184584,1
CTNNB1,-0.5311130012913987,0.5290792529008043,14.99999999999793,0.3657073891764139,0.7749088374716163,1
CREBBP,-0.9750480510261909,0.197268228779562,14.999999999996382,0.3340586569018649,0.7403850613174945,1
RUNX1,-0.2436041703117614,0.2379296362505731,14.999999999921146,0.2626426428871793,0.3639965142968789,2
JAK2,-0.743088416944922,0.2664308243149063,9.592272221667391,0.3164371092265897,0.7416491921357031,1
ALK,0.0119947094478143,0.4788808258616462,14.999999999999998,0.4498951273696441,0.2951670744058378,2
GAA,-0.9473674360259364,0.4469265801216165,14.08445009081783,0.461193440787373,0.8623901479490181,1
GRIN2A,-0.764181943220545,0.5383114961122168,14.999999999999998,0.337711077260373,0.8427195708733634,1
CDH1,-1.0595166275131918,0.336893021303491,13.237110959287634,0.3984739772776933,0.8581102856385526,1
ABCA4,-0.6957361938318245,0.4574436460921764,14.999999999999998,0.2684271493386033,0.796366236518363,1
FAT1,-1.003776315110274,0.2921159446595623,6.451644292593332,0.323836429614694,0.628558751029535,1
LDLR,-0.7728669590017666,0.4715087219683783,14.999999999999998,0.2610519533178593,0.746735098792961,1
PBRM1,-0.6442474653799121,0.2855392093783164,14.999999999846922,0.2967955277364822,0.660282135809892,1
SPEN,-0.2655945270905825,0.4266878735031431,14.999999999999805,0.4069207207213632,0.5597083086279417,2
MYO7A,-0.7830320785919456,0.4275714988165978,14.999999999999991,0.3198621165718825,0.7915184557945474,1
PTPRD,-0.5966679544044335,0.3818296382644473,14.999999999999591,0.4041880695580605,0.6957439208962731,2
FH,-0.9590847140542192,0.4811277074901594,14.999999999999934,0.3495819715642269,0.8494582289194901,1
FLG,-0.1901199275354869,0.4152258702653833,14.999999999999966,0.354989878068564,0.5418581812807508,2
PAH,-0.5461682849107333,0.4422145094006079,11.123558811536885,0.5789655444310826,0.5752534360534848,3
COL1A1,-0.2042694824062572,0.3647484812544429,14.99999999910435,0.3222163833702007,0.5414127004064654,2
DNAH5,-0.6089140591807878,0.391333877920668,14.999999999996565,0.5214273898887098,0.8326551916787082,3
B2M,-0.8032540931448741,0.2460302980898875,14.999999999999998,0.328697494835755,0.7923004057483221,1
RAD50,-0.2355113481573373,0.5172673243925772,9.759316001210768,0.5764894826707472,0.4343665486742066,3
CHEK2,-0.8149115027976551,0.3675167378254565,10.89215044031184,0.4969820915401504,0.7790290768706696,1
SDHA,-0.915278014665562,0.3544410555970361,11.590328554790483,0.385078894935494,0.6787748356991037,1
CDKN1B,-0.8251004297904836,0.2849436277294719,14.999999999999991,0.4461859698367698,0.7643424820144581,1
